year,SeaLevel
1992.9614,-19.33
1992.9865,-22.59
1993.0123,-24.03
1993.0406,-23.94
1993.0641,-24.22
1993.0975,-23.31
1993.1206,-22.16
1993.1493,-20.84
1993.1765,-20.61
1993.2037,-19.89
1993.2308,-20.43
1993.2851,-20.18
1993.3123,-17.44
1993.3394,-18.86
1993.3665,-20.56
1993.3937,-20.09
1993.4208,-19.6
1993.448,-18.07
1993.4741,-15.85
1993.5023,-16.32
1993.5294,-17.29
1993.5837,-19.38
1993.6117,-19.59
1993.6381,-17.48
1993.6652,-17.4
1993.6924,-20.09
1993.7189,-22.51
1993.7466,-20.14
1993.7738,-15.31
1993.8009,-17.67
1993.8553,-20.28
1993.8824,-21.27
1993.9097,-20.5
1993.9367,-16.99
1993.9638,-12.4
1993.9907,-15.07
1994.0181,-19.14
1994.0452,-16.03
1994.0723,-14.2
1994.0995,-17.75
1994.1267,-19.41
1994.1538,-17.46
1994.1809,-14.16
1994.2353,-12.29
1994.2624,-13.03
1994.2896,-12.63
1994.3168,-13.58
1994.3439,-14.9
1994.371,-16.7
1994.3982,-16.83
1994.4253,-15.27
1994.4524,-12.77
1994.5068,-17.61
1994.5339,-15.13
1994.5611,-15.68
1994.5882,-13.83
1994.6154,-14.42
1994.6425,-14.97
1994.6697,-15.4
1994.6968,-14.57
1994.724,-14.89
1994.751,-13.84
1994.7781,-13.94
1994.8054,-13.34
1994.8325,-12.89
1994.8869,-15.93
1994.914,-17.12
1994.9412,-11.86
1994.9684,-9.66
1994.9955,-10.41
1995.0226,-10.31
1995.0497,-11.13
1995.0769,-6.52
1995.104,-10.32
1995.1312,-13.81
1995.1583,-9.89
1995.2126,-6.7
1995.2398,-11.94
1995.2669,-9.58
1995.2941,-8.57
1995.3212,-8.92
1995.3755,-9.83
1995.4028,-9.28
1995.4299,-7.14
1995.457,-8.47
1995.484,-10.84
1995.5384,-13.08
1995.5655,-11.48
1995.5927,-11.97
1995.6199,-10.0
1995.647,-10.77
1995.674,-10.89
1995.7013,-7.45
1995.7285,-2.24
1995.7556,-7.84
1995.7827,-9.87
1995.8371,-8.47
1995.8643,-9.82
1995.89,-5.63
1995.9456,-7.34
1995.9727,-4.03
1996.0001,-5.87
1996.0269,-8.1
1996.0536,-10.36
1996.0814,-9.66
1996.1084,-6.79
1996.1632,-5.21
1996.1899,-8.75
1996.216,-7.47
1996.2443,-6.9
1996.2714,-8.43
1996.2986,-8.12
1996.3257,-6.96
1996.3529,-3.36
1996.38,-4.77
1996.4071,-3.73
1996.4343,-7.11
1996.4886,-6.9
1996.5157,-5.41
1996.5429,-2.34
1996.5701,-2.0
1996.5973,-5.63
1996.6244,-7.79
1996.6515,-6.77
1996.6786,-9.79
1996.7054,-5.81
1996.7335,-3.8
1996.76,-3.61
1996.8144,-0.74
1996.8415,1.25
1996.8687,-0.43
1996.8959,-6.13
1996.923,-5.73
1996.9501,-5.12
1996.977,-7.8
1997.0044,-5.44
1997.0316,-2.67
1997.0587,-5.14
1997.0858,-5.1
1997.1402,-3.72
1997.1673,-2.04
1997.1944,-4.49
1997.2216,-5.32
1997.2487,-3.16
1997.2759,-5.48
1997.3031,-6.86
1997.3302,-2.39
1997.3573,0.2
1997.3845,-1.61
1997.4116,-1.18
1997.4659,-4.6
1997.4931,-1.86
1997.5202,-0.63
1997.5474,1.59
1997.5745,0.09
1997.6288,0.33
1997.656,1.02
1997.683,1.52
1997.7102,4.1
1997.7374,2.9
1997.7917,-0.59
1997.8189,1.83
1997.846,2.59
1997.8731,-2.62
1997.9001,-3.28
1997.9274,-2.93
1997.9546,-3.98
1997.9817,-1.15
1998.0089,-2.51
1998.036,-0.26
1998.0903,-0.25
1998.1175,-0.24
1998.1446,-1.03
