year,Company,CO2
1962,Abu Dhabi National Oil Company,0.3638848308984855
1962,Abu Dhabi National Oil Company,0.1343552120344684
1963,Abu Dhabi National Oil Company,0.727769661796971
1963,Abu Dhabi National Oil Company,0.3224525088827243
1964,Abu Dhabi National Oil Company,2.911078647187884
1964,Abu Dhabi National Oil Company,1.2629389931240036
1965,Abu Dhabi National Oil Company,4.366617970781825
1965,Abu Dhabi National Oil Company,1.8272308836687716
1966,Abu Dhabi National Oil Company,5.385495497297585
1966,Abu Dhabi National Oil Company,2.1765544349583896
1967,Abu Dhabi National Oil Company,5.822157294375768
1967,Abu Dhabi National Oil Company,2.1765544349583896
1968,Abu Dhabi National Oil Company,7.277696617969709
1968,Abu Dhabi National Oil Company,2.848330495130732
1969,Abu Dhabi National Oil Company,8.878789873923047
1969,Abu Dhabi National Oil Company,3.4394934280823937
1970,Abu Dhabi National Oil Company,10.261552231337292
1970,Abu Dhabi National Oil Company,3.923172191406481
1971,Abu Dhabi National Oil Company,13.682069641783054
1971,Abu Dhabi National Oil Company,5.320466396564951
1972,Abu Dhabi National Oil Company,15.137608965376996
1972,Abu Dhabi National Oil Company,5.804145159889039
1973,Abu Dhabi National Oil Company,46.94114318590463
1973,Abu Dhabi National Oil Company,7.0939551954199365
1974,Abu Dhabi National Oil Company,120.47498981387058
1974,Abu Dhabi National Oil Company,7.0939551954199365
1975,Abu Dhabi National Oil Company,119.88112976984426
1975,Abu Dhabi National Oil Company,6.260952880806233
1976,Abu Dhabi National Oil Company,138.53532174102418
1976,Abu Dhabi National Oil Company,7.126200446308207
1977,Abu Dhabi National Oil Company,144.2468580468068
1977,Abu Dhabi National Oil Company,10.578145010872213
1978,Abu Dhabi National Oil Company,126.3087914228351
1978,Abu Dhabi National Oil Company,13.91973206662058
1979,Abu Dhabi National Oil Company,128.77156395835604
1979,Abu Dhabi National Oil Company,14.72745963837631
1980,Abu Dhabi National Oil Company,117.31355840302452
1980,Abu Dhabi National Oil Company,18.530377263763825
1981,Abu Dhabi National Oil Company,98.94756321791617
1981,Abu Dhabi National Oil Company,22.79515755864012
1982,Abu Dhabi National Oil Company,79.6471117870605
1982,Abu Dhabi National Oil Company,24.002758167401407
1983,Abu Dhabi National Oil Company,74.05784078445976
1983,Abu Dhabi National Oil Company,22.6653251953276
1984,Abu Dhabi National Oil Company,71.61253472082194
1984,Abu Dhabi National Oil Company,25.896235482350548
1985,Abu Dhabi National Oil Company,69.34189337601539
1985,Abu Dhabi National Oil Company,28.10551405806189
1986,Abu Dhabi National Oil Company,113.50933690020555
1986,Abu Dhabi National Oil Company,28.960066416586063
1987,Abu Dhabi National Oil Company,157.67678042439582
1987,Abu Dhabi National Oil Company,29.79014218202674
1988,Abu Dhabi National Oil Company,150.97731175689492
1988,Abu Dhabi National Oil Company,30.595741354383915
1989,Abu Dhabi National Oil Company,213.9842194631532
1989,Abu Dhabi National Oil Company,33.639352494333075
1990,Abu Dhabi National Oil Company,237.55199316846884
1990,Abu Dhabi National Oil Company,35.562361350937294
1991,Abu Dhabi National Oil Company,288.19678607160046
1991,Abu Dhabi National Oil Company,40.428840155788166
1992,Abu Dhabi National Oil Company,268.09838006909786
1992,Abu Dhabi National Oil Company,42.76326861613516
1993,Abu Dhabi National Oil Company,260.8406223459719
1993,Abu Dhabi National Oil Company,43.67406392876645
1994,Abu Dhabi National Oil Company,270.4511696606607
1994,Abu Dhabi National Oil Company,50.77190345308877
1995,Abu Dhabi National Oil Company,272.604570303786
1995,Abu Dhabi National Oil Company,45.29180710163139
1996,Abu Dhabi National Oil Company,268.6965469144104
1996,Abu Dhabi National Oil Company,48.613106538585136
1997,Abu Dhabi National Oil Company,282.37462877722476
1997,Abu Dhabi National Oil Company,51.94762694387831
1998,Abu Dhabi National Oil Company,298.40550023160193
1998,Abu Dhabi National Oil Company,62.807727965888226
1999,Abu Dhabi National Oil Company,268.53703575566044
1999,Abu Dhabi National Oil Company,74.59811745051427
2000,Abu Dhabi National Oil Company,277.31014948691154
2000,Abu Dhabi National Oil Company,75.21075899479385
2001,Abu Dhabi National Oil Company,267.1014353269102
2001,Abu Dhabi National Oil Company,78.79651391572439
2002,Abu Dhabi National Oil Company,246.00608458221996
2002,Abu Dhabi National Oil Company,86.77887286030838
2003,Abu Dhabi National Oil Company,269.294713759723
2003,Abu Dhabi National Oil Company,89.57179754746531
2004,Abu Dhabi National Oil Company,284.5679072100375
2004,Abu Dhabi National Oil Company,92.5449109241163
2005,Abu Dhabi National Oil Company,334.7740444266066
2005,Abu Dhabi National Oil Company,93.26566568209223
2006,Abu Dhabi National Oil Company,356.6270731753595
2006,Abu Dhabi National Oil Company,97.77038291944214
2007,Abu Dhabi National Oil Company,337.6851230737945
2007,Abu Dhabi National Oil Company,101.77057182620884
2008,Abu Dhabi National Oil Company,354.4337947425467
2008,Abu Dhabi National Oil Company,100.79755290294128
2009,Abu Dhabi National Oil Company,310.76761503472846
2009,Abu Dhabi National Oil Company,95.13782642105123
2010,Abu Dhabi National Oil Company,314.675638424104
2010,Abu Dhabi National Oil Company,101.62642087461366
2011,Abu Dhabi National Oil Company,364.16038642522625
2011,Abu Dhabi National Oil Company,117.94231912487538
2012,Abu Dhabi National Oil Company,378.1212018169249
2012,Abu Dhabi National Oil Company,142.80224707182848
2013,Abu Dhabi National Oil Company,397.5528511758524
2013,Abu Dhabi National Oil Company,140.98088626996673
2014,Abu Dhabi National Oil Company,399.64683391234325
2014,Abu Dhabi National Oil Company,143.18009452801684
2015,Abu Dhabi National Oil Company,426.12409115325926
2015,Abu Dhabi National Oil Company,139.8349655095296
2016,Abu Dhabi National Oil Company,436.6617970781826
2016,Abu Dhabi National Oil Company,143.29297171184652
2017,Abu Dhabi National Oil Company,473.0502801680311
2017,Abu Dhabi National Oil Company,155.2340527303531
2018,Abu Dhabi National Oil Company,509.43876325787966
2018,Abu Dhabi National Oil Company,182.9647157103936
2019,Abu Dhabi National Oil Company,538.5495497297585
2019,Abu Dhabi National Oil Company,190.43266333503647
2020,Abu Dhabi National Oil Company,509.43876325787966
2020,Abu Dhabi National Oil Company,196.0336239806282
2021,Abu Dhabi National Oil Company,509.43876325787966
2021,Abu Dhabi National Oil Company,196.0336239806282
2022,Abu Dhabi National Oil Company,509.43876325787966
2022,Abu Dhabi National Oil Company,196.0336239806282
2012,Adani Enterprises,8.07636177449011
2013,Adani Enterprises,8.258079914416136
2014,Adani Enterprises,15.991196313490418
2015,Adani Enterprises,20.917776995929383
2016,Adani Enterprises,23.11858557947794
2017,Adani Enterprises,22.51285844639118
2018,Adani Enterprises,34.12262849722071
2019,Adani Enterprises,26.775158372878337
2020,Adani Enterprises,31.740101773746133
2021,Adani Enterprises,54.071242080211285
2022,Adani Enterprises,70.4662564824262
1992,Adaro Energy,2.019090443622527
1993,Adaro Energy,2.8267266210715385
1994,Adaro Energy,4.8458170646940655
1995,Adaro Energy,11.1049974399239
1996,Adaro Energy,17.364177815153734
1997,Adaro Energy,18.97945017005176
1998,Adaro Energy,22.008085835485552
1999,Adaro Energy,27.459630033266368
2000,Adaro Energy,31.295901876149173
2001,Adaro Energy,35.737900852118734
2002,Adaro Energy,41.997081227348566
2003,Adaro Energy,45.42953498150687
2004,Adaro Energy,49.063897780027425
2005,Adaro Energy,53.909714844721485
2006,Adaro Energy,69.45671126061494
2007,Adaro Energy,72.88916501477325
2008,Adaro Energy,77.73498207946731
2009,Adaro Energy,81.97507201107463
2010,Adaro Energy,85.20561672087067
2011,Adaro Energy,96.31061416079456
2012,Adaro Energy,95.30106893898328
2013,Adaro Energy,105.59843020145816
2014,Adaro Energy,113.47288293158606
2015,Adaro Energy,103.98315784656018
2016,Adaro Energy,105.759957436948
2016,Adaro Energy,0.6526557566863621
2017,Adaro Energy,102.77170358038664
2017,Adaro Energy,2.66995536826239
2018,Adaro Energy,97.38073209591448
2018,Adaro Energy,17.11738052763777
2019,Adaro Energy,106.62271478350787
2019,Adaro Energy,15.493751002026652
2020,Adaro Energy,100.19191172057016
2020,Adaro Energy,14.559266623134816
2021,Adaro Energy,100.6601387944462
2021,Adaro Energy,8.44239887444568
2022,Adaro Energy,120.1560722999766
2022,Adaro Energy,9.997499545604729
1996,Alliance Resource Partners,22.160256954928027
1997,Alliance Resource Partners,26.838533423190608
1998,Alliance Resource Partners,32.99416035511506
1999,Alliance Resource Partners,34.71773589605391
2000,Alliance Resource Partners,33.732835586945995
2001,Alliance Resource Partners,38.65733713248555
2002,Alliance Resource Partners,44.320513909856054
2003,Alliance Resource Partners,47.27521483717979
2004,Alliance Resource Partners,50.17328399672982
2005,Alliance Resource Partners,56.385542696427976
2006,Alliance Resource Partners,58.35534331464381
2007,Alliance Resource Partners,59.832693778305675
2008,Alliance Resource Partners,65.07482567353253
2009,Alliance Resource Partners,63.6196354668256
2010,Alliance Resource Partners,71.06055730213588
2011,Alliance Resource Partners,75.72159801498907
2012,Alliance Resource Partners,85.68632689238837
2013,Alliance Resource Partners,95.49100946955764
2014,Alliance Resource Partners,100.3342567395958
2015,Alliance Resource Partners,101.39056232111405
2016,Alliance Resource Partners,86.77956623549814
2017,Alliance Resource Partners,92.60278931309871
2018,Alliance Resource Partners,99.14498961634798
2019,Alliance Resource Partners,0.4406495760469331
2019,Alliance Resource Partners,0.2670703902857955
2019,Alliance Resource Partners,98.44324814610864
2020,Alliance Resource Partners,0.5124295974844425
2020,Alliance Resource Partners,0.264956568965302
2020,Alliance Resource Partners,66.45614835705638
2021,Alliance Resource Partners,0.4713554741063121
2021,Alliance Resource Partners,0.2543874623628347
2021,Alliance Resource Partners,79.30171063859635
2022,Alliance Resource Partners,0.6033509579719546
2022,Alliance Resource Partners,0.3526437085706001
2022,Alliance Resource Partners,87.35327066555351
1981,Alpha Metallurgical Resources,25.156422406867776
1981,Alpha Metallurgical Resources,10.206019135433998
1982,Alpha Metallurgical Resources,33.28194684657596
1982,Alpha Metallurgical Resources,13.502563315683982
1983,Alpha Metallurgical Resources,32.714498084701425
1983,Alpha Metallurgical Resources,13.272348033494776
1984,Alpha Metallurgical Resources,42.27313641229047
1984,Alpha Metallurgical Resources,17.15030986241046
1985,Alpha Metallurgical Resources,43.828233330512816
1985,Alpha Metallurgical Resources,17.781216295266805
1986,Alpha Metallurgical Resources,41.71287055299276
1986,Alpha Metallurgical Resources,16.923008700851486
1987,Alpha Metallurgical Resources,31.856142051624044
1987,Alpha Metallurgical Resources,12.924110994963325
1988,Alpha Metallurgical Resources,30.527306355280576
1988,Alpha Metallurgical Resources,12.384999262381376
1989,Alpha Metallurgical Resources,30.34773398783984
1989,Alpha Metallurgical Resources,12.312146327364424
1990,Alpha Metallurgical Resources,33.58003699573313
1990,Alpha Metallurgical Resources,13.623499189965164
1991,Alpha Metallurgical Resources,30.34773398783984
1991,Alpha Metallurgical Resources,12.312146327364424
1992,Alpha Metallurgical Resources,32.32303027591297
1992,Alpha Metallurgical Resources,13.11352863139
1993,Alpha Metallurgical Resources,39.50592588457501
1993,Alpha Metallurgical Resources,16.02764610473319
1994,Alpha Metallurgical Resources,45.521600969448514
1994,Alpha Metallurgical Resources,18.468219489700992
1995,Alpha Metallurgical Resources,51.537276054322
1995,Alpha Metallurgical Resources,20.908792874668784
1996,Alpha Metallurgical Resources,57.283592526478145
1996,Alpha Metallurgical Resources,23.240086854419857
1997,Alpha Metallurgical Resources,62.0386694279318
1997,Alpha Metallurgical Resources,25.169232620497368
1998,Alpha Metallurgical Resources,48.50634022356468
1998,Alpha Metallurgical Resources,48.98161189503893
1999,Alpha Metallurgical Resources,174.3070667752557
1999,Alpha Metallurgical Resources,73.22546329366008
2000,Alpha Metallurgical Resources,190.13141153535227
2000,Alpha Metallurgical Resources,73.15338954305389
2001,Alpha Metallurgical Resources,206.53834908145632
2001,Alpha Metallurgical Resources,71.63713912147213
2002,Alpha Metallurgical Resources,219.9736155231956
2002,Alpha Metallurgical Resources,69.06291855530746
2003,Alpha Metallurgical Resources,252.25887723601497
2003,Alpha Metallurgical Resources,76.02774517832216
2004,Alpha Metallurgical Resources,231.6488611975803
2004,Alpha Metallurgical Resources,73.25677687481942
2005,Alpha Metallurgical Resources,250.491341827037
2005,Alpha Metallurgical Resources,73.92275645899964
2006,Alpha Metallurgical Resources,265.07983343303994
2006,Alpha Metallurgical Resources,74.93236921119647
2007,Alpha Metallurgical Resources,264.54592828278044
2007,Alpha Metallurgical Resources,76.59245889701305
2008,Alpha Metallurgical Resources,257.7612437998532
2008,Alpha Metallurgical Resources,78.62568211616342
2009,Alpha Metallurgical Resources,237.9216204519564
2009,Alpha Metallurgical Resources,67.47702405946032
2010,Alpha Metallurgical Resources,232.21448380654672
2010,Alpha Metallurgical Resources,67.25594348187312
2011,Alpha Metallurgical Resources,244.41942671848767
2011,Alpha Metallurgical Resources,60.531763052504274
2012,Alpha Metallurgical Resources,217.9091933901256
2012,Alpha Metallurgical Resources,54.633336344466514
2013,Alpha Metallurgical Resources,164.42171985324765
2013,Alpha Metallurgical Resources,54.18927228058291
2014,Alpha Metallurgical Resources,156.32444481665544
2014,Alpha Metallurgical Resources,44.849303371144266
2015,Alpha Metallurgical Resources,137.29901895478196
2015,Alpha Metallurgical Resources,39.39093057820256
2016,Alpha Metallurgical Resources,24.176235673055206
2016,Alpha Metallurgical Resources,6.936134201311805
2017,Alpha Metallurgical Resources,16.994454833657027
2017,Alpha Metallurgical Resources,10.11120416976161
2018,Alpha Metallurgical Resources,1.2789710429589585
2018,Alpha Metallurgical Resources,15.445699097584836
2018,Alpha Metallurgical Resources,12.78635374249066
2019,Alpha Metallurgical Resources,8.810928243846673
2019,Alpha Metallurgical Resources,16.112969057005447
2019,Alpha Metallurgical Resources,28.869546747147403
2020,Alpha Metallurgical Resources,5.980807127057797
2020,Alpha Metallurgical Resources,32.13678173838791
2021,Alpha Metallurgical Resources,3.1147472275537726
2021,Alpha Metallurgical Resources,39.39521070986703
2022,Alpha Metallurgical Resources,2.216025695492803
2022,Alpha Metallurgical Resources,40.202599916928115
1988,American Consolidated Natural Resources,2.4622507727697807
1989,American Consolidated Natural Resources,5.560582994351005
1990,American Consolidated Natural Resources,8.65891521839448
1991,American Consolidated Natural Resources,11.757247439975703
1992,American Consolidated Natural Resources,14.855579661556929
1993,American Consolidated Natural Resources,17.953911885600405
1994,American Consolidated Natural Resources,21.052244107181632
1995,American Consolidated Natural Resources,24.15057632876285
1996,American Consolidated Natural Resources,27.248908560193076
1997,American Consolidated Natural Resources,30.347240774387547
1998,American Consolidated Natural Resources,33.44557298858202
1999,American Consolidated Natural Resources,36.543905227399
2000,American Consolidated Natural Resources,39.64223744159347
2001,American Consolidated Natural Resources,38.65733713248555
2002,American Consolidated Natural Resources,48.75256530084167
2003,American Consolidated Natural Resources,47.76766499173375
2004,American Consolidated Natural Resources,53.18461669182727
2005,American Consolidated Natural Resources,48.944620861117706
2006,American Consolidated Natural Resources,50.293934284595544
2007,American Consolidated Natural Resources,68.32992119513419
2008,American Consolidated Natural Resources,64.16379288760773
2009,American Consolidated Natural Resources,61.802494396521496
2010,American Consolidated Natural Resources,60.81759408741359
2011,American Consolidated Natural Resources,65.24964547839919
2012,American Consolidated Natural Resources,71.93711857724192
2013,American Consolidated Natural Resources,160.04630023003574
