Country,Year,Value
Albania,2018,6.8
Austria,2006,25.5
Austria,2007,25.5
Austria,2008,25.1
Austria,2009,24.3
Austria,2010,24.0
Austria,2011,23.5
Austria,2012,22.9
Austria,2013,22.3
Austria,2014,22.2
Austria,2015,21.8
Austria,2016,20.8
Austria,2017,20.7
Austria,2018,20.4
Austria,2019,20.0
Austria,2020,19.2
Austria,2021,19.1
Austria,2022,18.7
Austria,2023,18.3
Austria,2024,17.6
Belgium,2006,9.5
Belgium,2007,10.1
Belgium,2008,10.2
Belgium,2009,10.1
Belgium,2010,10.2
Belgium,2011,9.4
Belgium,2012,8.3
Belgium,2013,7.5
Belgium,2014,6.6
Belgium,2015,6.4
Belgium,2016,6.0
Belgium,2017,5.8
Belgium,2018,5.8
Belgium,2019,4.7
Belgium,2020,3.2
Belgium,2021,1.8
Belgium,2022,0.7
Belgium,2023,0.7
Belgium,2024,0.7
Bulgaria,2002,18.9
Bulgaria,2006,12.4
Bulgaria,2007,12.1
Bulgaria,2008,12.3
Bulgaria,2009,13.3
Bulgaria,2010,13.0
Bulgaria,2011,13.2
Bulgaria,2012,15.1
Bulgaria,2013,14.1
Bulgaria,2014,14.2
Bulgaria,2015,15.5
Bulgaria,2016,14.6
Bulgaria,2017,14.3
Bulgaria,2018,13.9
Bulgaria,2019,14.0
Bulgaria,2020,12.5
Bulgaria,2021,11.9
Bulgaria,2022,12.6
Bulgaria,2023,13.5
Bulgaria,2024,12.0
Switzerland,2006,18.6
Switzerland,2008,18.4
Switzerland,2009,18.4
Switzerland,2010,17.8
Switzerland,2011,17.6
Switzerland,2012,17.4
Switzerland,2013,17.6
Switzerland,2014,17.4
Switzerland,2015,17.9
Switzerland,2016,17.4
Switzerland,2017,17.6
Switzerland,2018,18.6
Switzerland,2019,18.4
Switzerland,2020,18.0
Switzerland,2021,17.0
Switzerland,2022,17.0
Switzerland,2023,17.2
Switzerland,2024,16.0
Cyprus,2002,22.5
Cyprus,2006,21.8
Cyprus,2007,22.0
Cyprus,2008,19.5
Cyprus,2009,17.8
Cyprus,2010,16.8
Cyprus,2011,16.1
Cyprus,2012,15.6
Cyprus,2013,14.9
Cyprus,2014,14.2
Cyprus,2015,13.2
Cyprus,2016,12.3
Cyprus,2017,11.2
Cyprus,2018,10.4
Cyprus,2019,10.5
Cyprus,2020,9.9
Cyprus,2021,11.0
Cyprus,2022,11.9
Cyprus,2023,12.0
Cyprus,2024,11.8
Czechia,2002,22.1
Czechia,2006,23.4
Czechia,2007,23.6
Czechia,2008,26.2
Czechia,2009,25.9
Czechia,2010,21.6
Czechia,2011,22.6
Czechia,2012,22.5
Czechia,2013,22.3
Czechia,2014,22.5
Czechia,2015,22.5
Czechia,2016,21.5
Czechia,2017,21.1
Czechia,2018,20.1
Czechia,2019,19.3
Czechia,2020,16.7
Czechia,2021,15.4
Czechia,2022,18.4
Czechia,2023,18.0
Czechia,2024,18.5
Germany,2006,22.7
Germany,2007,22.8
Germany,2008,22.8
Germany,2009,22.6
Germany,2010,22.3
Germany,2011,22.4
Germany,2012,22.7
Germany,2013,22.1
Germany,2014,22.3
Germany,2015,21.8
Germany,2016,21.1
Germany,2017,20.4
Germany,2018,20.1
Germany,2019,19.2
Germany,2020,18.3
Germany,2021,17.6
Germany,2022,17.7
Germany,2023,17.6
Germany,2024,15.6
Denmark,2006,17.6
Denmark,2007,17.7
Denmark,2008,17.1
Denmark,2009,16.8
Denmark,2010,17.1
Denmark,2011,16.4
Denmark,2012,16.8
Denmark,2013,16.5
Denmark,2014,16.0
Denmark,2015,15.1
Denmark,2016,15.1
Denmark,2017,14.8
Denmark,2018,14.6
Denmark,2019,17.7
Denmark,2020,13.8
Denmark,2021,14.2
Denmark,2022,13.8
Denmark,2023,14.0
Denmark,2024,14.0
Euro area - 19 countries  (2015-2022),2010,17.0
Euro area - 19 countries  (2015-2022),2011,17.3
Euro area - 19 countries  (2015-2022),2012,17.6
Euro area - 19 countries  (2015-2022),2013,17.1
Euro area - 19 countries  (2015-2022),2014,16.8
Euro area - 19 countries  (2015-2022),2015,16.5
Euro area - 19 countries  (2015-2022),2016,16.2
Euro area - 19 countries  (2015-2022),2017,15.7
Euro area - 19 countries  (2015-2022),2018,15.3
Euro area - 19 countries  (2015-2022),2019,14.6
Euro area - 19 countries  (2015-2022),2020,14.0
Euro area - 19 countries  (2015-2022),2021,13.4
Euro area - 19 countries  (2015-2022),2022,13.2
Euro area – 20 countries (2023-2025),2010,16.9
Euro area – 20 countries (2023-2025),2011,17.2
Euro area – 20 countries (2023-2025),2012,17.4
Euro area – 20 countries (2023-2025),2013,17.0
Euro area – 20 countries (2023-2025),2014,16.8
Euro area – 20 countries (2023-2025),2015,16.4
Euro area – 20 countries (2023-2025),2016,16.2
Euro area – 20 countries (2023-2025),2017,15.6
Euro area – 20 countries (2023-2025),2018,15.3
Euro area – 20 countries (2023-2025),2019,14.4
Euro area – 20 countries (2023-2025),2020,13.7
Euro area – 20 countries (2023-2025),2021,13.0
Euro area – 20 countries (2023-2025),2022,12.7
Euro area – 20 countries (2023-2025),2023,12.1
Euro area – 20 countries (2023-2025),2024,11.4
Estonia,2006,29.8
Estonia,2007,30.9
Estonia,2008,27.6
Estonia,2009,26.6
Estonia,2010,27.7
Estonia,2011,27.3
Estonia,2012,29.9
Estonia,2013,29.8
Estonia,2014,28.1
Estonia,2015,26.7
Estonia,2016,24.8
Estonia,2017,24.9
Estonia,2018,21.8
Estonia,2019,21.6
Estonia,2020,21.0
Estonia,2021,20.3
Estonia,2022,21.1
Estonia,2023,19.6
Estonia,2024,18.8
Greece,2002,25.5
Greece,2006,20.7
Greece,2007,21.5
Greece,2008,22.0
Greece,2010,15.0
Greece,2014,12.5
Greece,2018,10.4
Greece,2022,13.5
Greece,2023,13.6
Greece,2024,13.4
Spain,2002,20.2
Spain,2006,17.9
Spain,2007,18.1
Spain,2008,16.1
Spain,2009,16.7
Spain,2010,16.2
Spain,2011,17.6
Spain,2012,18.7
Spain,2013,17.8
Spain,2014,14.9
Spain,2015,14.1
Spain,2016,14.8
Spain,2017,13.5
Spain,2018,11.9
Spain,2019,9.6
Spain,2020,9.3
Spain,2021,9.3
Spain,2022,9.2
Spain,2023,7.3
Spain,2024,7.3
European Union - 27 countries (2007-2013),2006,17.7
